hotelId,hotelName,hotelAddress,city,postalCode,addressRegion,country,hotelRating,reviewCount,latitude,longitude,hotelUrl,description,roomName,maxOccupancyText,maxOccupancy,bedTypes,roomHighlights,includedFacilities,priceCurrent,pricePerNight,priceOriginal,currency,priceText,cancellationPolicy,mealPlan,scrapedAt
bed-amp-wellness-eiland-van-rust,Bed & Wellness - Eiland van rust,"Engelsedijk 5, 5231 EH Den Bosch, Netherlands",Engelsedijk 5,5231 EH,Noord-Brabant,Netherlands,7.7,24,51.7150239,5.2811745,https://www.booking.com/hotel/nl/bed-amp-wellness-eiland-van-rust.html,"3 miles from Brabanthallen Exhibition Center in Den Bosch, Bed & Wellness - Eiland van rust features accommodations with access to a sauna and hot tub.",One-Bedroom House,Max. people: 2,2,,Entire vacation home; 150 m²; Lake view; Garden view; Inner courtyard view; Air conditioning; Attached bathroom; Flat-screen TV; Terrace; Coffee machine; Sauna; Minibar; Free Wifi; Bathrobe; Toilet; Fireplace; Bathtub or shower; Hardwood or parquet floors; Towels; Socket near the bed; Sitting area; Private entrance; TV; Slippers; Refrigerator; Heating; Hairdryer; Electric kettle; Dining area; Entire unit located on ground floor; Toilet paper; Hand sanitizer; Carbon monoxide detector,Bathrobe; Toilet; Fireplace; Bathtub or shower; Hardwood or parquet floors; Towels; Socket near the bed; Sitting area; Private entrance; TV; Slippers; Refrigerator; Heating; Hairdryer; Electric kettle; Dining area; Entire unit located on ground floor; Toilet paper; Hand sanitizer; Carbon monoxide detector,1.582,350.6,1.753,EUR,"€ 1,753 € 1,582 Original price € 1,753 Current price € 1,582 € 350.60 × 5 nights € 1,753 Genius Discount - € 170.55 You’re getting a reduced rate because you’re a Genius member. Total € 1,582.45 Includes taxes and fees 10% off 10% off You’re getting a reduced rate because this property is offering a discount. Genius rewards You're getting a discount with Genius, Booking.com's loyalty program.",,,2025-12-16T13:30:10.447Z
a2-b-b-hintham,Bed and Breakfast Den Bosch,"Quirijn van Amelsfoortstraat 1, 5246 GX Den Bosch, Netherlands",Quirijn van Amelsfoortstraat 1,5246 GX,Noord-Brabant,Netherlands,6.8,223,51.6971632,5.3459162,https://www.booking.com/hotel/nl/a2-b-b-hintham.html,"Featuring garden views, Bed and Breakfast Den Bosch in Den Bosch provides accommodations and a shared lounge.",Triple Room with Shared Bathroom,Max. people: 2,2,1 twin bed and; 1 full bed,Private kitchen; Garden view; City view; Inner courtyard view; Air conditioning; Dishwasher; Flat-screen TV; Coffee machine; Minibar; Free Wifi; Free toiletries; Bathrobe; Kitchen; Washing machine; Toilet; Bathtub or shower; Hardwood or parquet floors; Towels; Linens; Socket near the bed; Cleaning products; Sitting area; Video; Private entrance; TV; Refrigerator; Ironing facilities; Tea/Coffee maker; Iron; Radio; Shared toilet; Shared bathroom; Microwave; Heating; Hairdryer; Kitchenware; Kitchenette; Fan; Guest bathroom; Extra long beds (> 6.5 ft); DVD player; Walk-in closet; CD player; Electric kettle; Outdoor furniture; Outdoor dining area; Cable channels; Alarm clock; Executive lounge access; Oven; Stovetop; Toaster; Dining area; Dining table; Upper floors accessible by stairs only; Clothes rack; Fold-up bed; Drying rack for clothing; Toilet paper; Child safety socket covers,Free toiletries; Bathrobe; Kitchen; Washing machine; Toilet; Bathtub or shower; Hardwood or parquet floors; Towels; Linens; Socket near the bed; Cleaning products; Sitting area; Video; Private entrance; TV; Refrigerator; Ironing facilities; Tea/Coffee maker; Iron; Radio; Shared toilet; Shared bathroom; Microwave; Heating; Hairdryer; Kitchenware; Kitchenette; Fan; Guest bathroom; Extra long beds (> 6.5 ft); DVD player; Walk-in closet; CD player; Electric kettle; Outdoor furniture; Outdoor dining area; Cable channels; Alarm clock; Executive lounge access; Oven; Stovetop; Toaster; Dining area; Dining table; Upper floors accessible by stairs only; Clothes rack; Fold-up bed; Drying rack for clothing; Toilet paper; Child safety socket covers,540,540,,EUR,€ 540 Price € 540 Includes taxes and fees,,,2025-12-16T13:30:10.447Z
a2-b-b-hintham,Bed and Breakfast Den Bosch,"Quirijn van Amelsfoortstraat 1, 5246 GX Den Bosch, Netherlands",Quirijn van Amelsfoortstraat 1,5246 GX,Noord-Brabant,Netherlands,6.8,223,51.6971632,5.3459162,https://www.booking.com/hotel/nl/a2-b-b-hintham.html,"Featuring garden views, Bed and Breakfast Den Bosch in Den Bosch provides accommodations and a shared lounge.",Double Room,Max. people: 2,2,1 queen bed,29 m²; Private kitchen; Private bathroom; Garden view; City view; Inner courtyard view; Air conditioning; Dishwasher; Flat-screen TV; Coffee machine; Minibar; Free Wifi; Free toiletries; Bathrobe; Kitchen; Washing machine; Toilet; Bathtub or shower; Hardwood or parquet floors; Towels; Linens; Socket near the bed; Cleaning products; Sitting area; Video; Private entrance; TV; Refrigerator; Ironing facilities; Tea/Coffee maker; Iron; Radio; Microwave; Heating; Hairdryer; Kitchenware; Kitchenette; Fan; Guest bathroom; Extra long beds (> 6.5 ft); DVD player; Walk-in closet; CD player; Electric kettle; Outdoor furniture; Outdoor dining area; Cable channels; Alarm clock; Executive lounge access; Oven; Stovetop; Toaster; Dining area; Dining table; Upper floors accessible by stairs only; Clothes rack; Drying rack for clothing; Toilet paper; Child safety socket covers,Free toiletries; Bathrobe; Kitchen; Washing machine; Toilet; Bathtub or shower; Hardwood or parquet floors; Towels; Linens; Socket near the bed; Cleaning products; Sitting area; Video; Private entrance; TV; Refrigerator; Ironing facilities; Tea/Coffee maker; Iron; Radio; Microwave; Heating; Hairdryer; Kitchenware; Kitchenette; Fan; Guest bathroom; Extra long beds (> 6.5 ft); DVD player; Walk-in closet; CD player; Electric kettle; Outdoor furniture; Outdoor dining area; Cable channels; Alarm clock; Executive lounge access; Oven; Stovetop; Toaster; Dining area; Dining table; Upper floors accessible by stairs only; Clothes rack; Drying rack for clothing; Toilet paper; Child safety socket covers,590,590,,EUR,€ 590 Price € 590 Includes taxes and fees,,,2025-12-16T13:30:10.447Z
bossche-suites,Bossche Suites No2 - Verwersstraat,"Verwersstraat 23 , 5211 HT Den Bosch, Netherlands",Verwersstraat 23,5211 HT,Noord-Brabant,Netherlands,9.1,470,51.6873702,5.3045981,https://www.booking.com/hotel/nl/bossche-suites.html,This hotel is located 591 feet from lively Markt in the center of Den Bosch. Bossche Suites No2 - Verwersstraat offers accommodations free Wi-Fi.,Studio,Max. people: 2,2,1 king bed,Entire studio; 50 m²; Private kitchenette; Attached bathroom; Landmark view; City view; Bathtub; Air conditioning; Patio; Dishwasher; Flat-screen TV; Terrace; Coffee machine; Minibar; Free Wifi; Free toiletries; Shower; Bathrobe; Safe; Streaming service (like Netflix); Toilet; Fireplace; Towels; Linens; Socket near the bed; Sitting area; TV; Slippers; Refrigerator; Tea/Coffee maker; Iron; Microwave; Heating; Hairdryer; Kitchenware; Kitchenette; Guest bathroom; Extra long beds (> 6.5 ft); Carpeted; Electric kettle; Outdoor furniture; Wake-up service; Wardrobe or closet; Dining area; Dining table; Upper floors accessible by stairs only; Clothes rack; Toilet paper; Hand sanitizer; Single-room AC for guest accommodation,Free toiletries; Shower; Bathrobe; Safe; Streaming service (like Netflix); Toilet; Fireplace; Towels; Linens; Socket near the bed; Sitting area; TV; Slippers; Refrigerator; Tea/Coffee maker; Iron; Microwave; Heating; Hairdryer; Kitchenware; Kitchenette; Guest bathroom; Extra long beds (> 6.5 ft); Carpeted; Electric kettle; Outdoor furniture; Wake-up service; Wardrobe or closet; Dining area; Dining table; Upper floors accessible by stairs only; Clothes rack; Toilet paper; Hand sanitizer; Single-room AC for guest accommodation,1.047,286.56,1.433,EUR,"€ 1,433 € 1,047 Original price € 1,433 Current price € 1,047 € 286.56 × 5 nights € 1,432.80 Genius Discount - € 208.32 You’re getting a reduced rate because you’re a Genius member. Bonus savings - € 177.07 You’re getting a reduced rate because this property is offering a discount. Total € 1,047.41 Includes taxes and fees 27% off 27% off You’re getting 27% off the original price due to multiple deals and benefits. Genius rewards You're getting a discount with Genius, Booking.com's loyalty program.",,,2025-12-16T13:30:10.447Z
bossche-suites,Bossche Suites No2 - Verwersstraat,"Verwersstraat 23 , 5211 HT Den Bosch, Netherlands",Verwersstraat 23,5211 HT,Noord-Brabant,Netherlands,9.1,470,51.6873702,5.3045981,https://www.booking.com/hotel/nl/bossche-suites.html,This hotel is located 591 feet from lively Markt in the center of Den Bosch. Bossche Suites No2 - Verwersstraat offers accommodations free Wi-Fi.,Studio,Max. people: 2,2,1 king bed,Entire studio; 46 m²; Private kitchenette; Attached bathroom; Landmark view; City view; Bathtub; Air conditioning; Patio; Dishwasher; Flat-screen TV; Terrace; Coffee machine; Minibar; Free Wifi; Free toiletries; Shower; Bathrobe; Safe; Streaming service (like Netflix); Toilet; Fireplace; Towels; Linens; Socket near the bed; Sitting area; TV; Slippers; Refrigerator; Tea/Coffee maker; Iron; Microwave; Heating; Hairdryer; Kitchenware; Kitchenette; Guest bathroom; Extra long beds (> 6.5 ft); Carpeted; Electric kettle; Outdoor furniture; Wake-up service; Wardrobe or closet; Dining area; Dining table; Upper floors accessible by stairs only; Clothes rack; Toilet paper; Single-room AC for guest accommodation; Hand sanitizer,Free toiletries; Shower; Bathrobe; Safe; Streaming service (like Netflix); Toilet; Fireplace; Towels; Linens; Socket near the bed; Sitting area; TV; Slippers; Refrigerator; Tea/Coffee maker; Iron; Microwave; Heating; Hairdryer; Kitchenware; Kitchenette; Guest bathroom; Extra long beds (> 6.5 ft); Carpeted; Electric kettle; Outdoor furniture; Wake-up service; Wardrobe or closet; Dining area; Dining table; Upper floors accessible by stairs only; Clothes rack; Toilet paper; Single-room AC for guest accommodation; Hand sanitizer,1.047,286.56,1.433,EUR,"€ 1,433 € 1,047 Original price € 1,433 Current price € 1,047 € 286.56 × 5 nights € 1,432.80 Genius Discount - € 208.32 You’re getting a reduced rate because you’re a Genius member. Bonus savings - € 177.07 You’re getting a reduced rate because this property is offering a discount. Total € 1,047.41 Includes taxes and fees 27% off 27% off You’re getting 27% off the original price due to multiple deals and benefits. Genius rewards You're getting a discount with Genius, Booking.com's loyalty program.",,,2025-12-16T13:30:10.447Z
bossche-suites,Bossche Suites No2 - Verwersstraat,"Verwersstraat 23 , 5211 HT Den Bosch, Netherlands",Verwersstraat 23,5211 HT,Noord-Brabant,Netherlands,9.1,470,51.6873702,5.3045981,https://www.booking.com/hotel/nl/bossche-suites.html,This hotel is located 591 feet from lively Markt in the center of Den Bosch. Bossche Suites No2 - Verwersstraat offers accommodations free Wi-Fi.,Studio,Max. people: 2,2,1 full bed and; 1 sofa bed,Entire studio; 65 m²; Private kitchenette; Attached bathroom; Landmark view; City view; Bathtub; Air conditioning; Dishwasher; Flat-screen TV; Coffee machine; Minibar; Free Wifi; Free toiletries; Shower; Bathrobe; Safe; Streaming service (like Netflix); Toilet; Sofa; Fireplace; Towels; Linens; Socket near the bed; Sitting area; TV; Slippers; Refrigerator; Tea/Coffee maker; Iron; Microwave; Heating; Hairdryer; Kitchenware; Kitchenette; Guest bathroom; Extra long beds (> 6.5 ft); Carpeted; Electric kettle; Wake-up service; Wardrobe or closet; Dining area; Dining table; Upper floors accessible by stairs only; Clothes rack; Toilet paper; Sofa bed; Hand sanitizer; Single-room AC for guest accommodation,Free toiletries; Shower; Bathrobe; Safe; Streaming service (like Netflix); Toilet; Sofa; Fireplace; Towels; Linens; Socket near the bed; Sitting area; TV; Slippers; Refrigerator; Tea/Coffee maker; Iron; Microwave; Heating; Hairdryer; Kitchenware; Kitchenette; Guest bathroom; Extra long beds (> 6.5 ft); Carpeted; Electric kettle; Wake-up service; Wardrobe or closet; Dining area; Dining table; Upper floors accessible by stairs only; Clothes rack; Toilet paper; Sofa bed; Hand sanitizer; Single-room AC for guest accommodation,1.339,367.2,1.836,EUR,"€ 1,836 € 1,339 Original price € 1,836 Current price € 1,339 € 367.20 × 5 nights € 1,836 Genius Discount - € 268.80 You’re getting a reduced rate because you’re a Genius member. Bonus savings - € 228.48 You’re getting a reduced rate because this property is offering a discount. Total € 1,338.72 Includes taxes and fees 27% off 27% off You’re getting 27% off the original price due to multiple deals and benefits. Genius rewards You're getting a discount with Genius, Booking.com's loyalty program.",,,2025-12-16T13:30:10.447Z
bossche-suites-stationsweg,Bossche Suites Stationsweg,"Stationsweg 2, 5211 TW Den Bosch, Netherlands",Stationsweg 2,5211 TW,Noord-Brabant,Netherlands,9.4,840,51.6901656,5.2978443,https://www.booking.com/hotel/nl/bossche-suites-stationsweg.html,"Featuring free WiFi throughout the property, Bossche Suites Stationsweg offers accommodations in Den Bosch, 1640 feet from the lively Markt and a 3-minute...",Standard King Room,Max. people: 2,2,1 queen bed,1 room; 33 m²; Air conditioning; Private bathroom; Soundproof; Coffee machine; Minibar; Free Wifi; Free toiletries; Bathrobe; Safe; Toilet; Fireplace; Bathtub or shower; Towels; Linens; Sitting area; TV; Slippers; Ironing facilities; Hairdryer; Wake-up service; Dining area; Dining table; Toilet paper; Carbon monoxide detector; Single-room AC for guest accommodation,Free toiletries; Bathrobe; Safe; Toilet; Fireplace; Bathtub or shower; Towels; Linens; Sitting area; TV; Slippers; Ironing facilities; Hairdryer; Wake-up service; Dining area; Dining table; Toilet paper; Carbon monoxide detector; Single-room AC for guest accommodation,768,209.34,1.047,EUR,"€ 1,047 € 768 Original price € 1,047 Current price € 768 € 209.34 × 5 nights € 1,046.69 Genius Discount - € 150.40 You’re getting a reduced rate because you’re a Genius member. Bonus savings - € 127.84 You’re getting a reduced rate because this property is offering a discount. Total € 768.45 Includes taxes and fees 27% off 27% off You’re getting 27% off the original price due to multiple deals and benefits. Genius rewards You're getting a discount with Genius, Booking.com's loyalty program.",,,2025-12-16T13:30:10.447Z
bossche-suites-stationsweg,Bossche Suites Stationsweg,"Stationsweg 2, 5211 TW Den Bosch, Netherlands",Stationsweg 2,5211 TW,Noord-Brabant,Netherlands,9.4,840,51.6901656,5.2978443,https://www.booking.com/hotel/nl/bossche-suites-stationsweg.html,"Featuring free WiFi throughout the property, Bossche Suites Stationsweg offers accommodations in Den Bosch, 1640 feet from the lively Markt and a 3-minute...",Deluxe Double Room with Bath,Max. people: 2,2,1 queen bed,1 room; 45 m²; Air conditioning; Private bathroom; Soundproof; Coffee machine; Minibar; Free Wifi; Free toiletries; Bathrobe; Safe; Toilet; Fireplace; Bathtub or shower; Towels; Linens; Sitting area; TV; Slippers; Ironing facilities; Hairdryer; Wake-up service; Dining area; Dining table; Toilet paper; Single-room AC for guest accommodation; Carbon monoxide detector,Free toiletries; Bathrobe; Safe; Toilet; Fireplace; Bathtub or shower; Towels; Linens; Sitting area; TV; Slippers; Ironing facilities; Hairdryer; Wake-up service; Dining area; Dining table; Toilet paper; Single-room AC for guest accommodation; Carbon monoxide detector,1.003,274.25,1.371,EUR,"€ 1,371 € 1,003 Original price € 1,371 Current price € 1,003 € 274.25 × 5 nights € 1,371.27 Genius Discount - € 199.09 You’re getting a reduced rate because you’re a Genius member. Bonus savings - € 169.23 You’re getting a reduced rate because this property is offering a discount. Total € 1,002.95 Includes taxes and fees 27% off 27% off You’re getting 27% off the original price due to multiple deals and benefits. Genius rewards You're getting a discount with Genius, Booking.com's loyalty program.",,,2025-12-16T13:30:10.447Z
bossche-suites-stationsweg,Bossche Suites Stationsweg,"Stationsweg 2, 5211 TW Den Bosch, Netherlands",Stationsweg 2,5211 TW,Noord-Brabant,Netherlands,9.4,840,51.6901656,5.2978443,https://www.booking.com/hotel/nl/bossche-suites-stationsweg.html,"Featuring free WiFi throughout the property, Bossche Suites Stationsweg offers accommodations in Den Bosch, 1640 feet from the lively Markt and a 3-minute...",Suite with Balcony,Max. people: 2,2,,Private suite; 49 m²; Air conditioning; Private bathroom; Soundproof; Coffee machine; Minibar; Free Wifi; Free toiletries; Bathrobe; Safe; Toilet; Fireplace; Bathtub or shower; Towels; Linens; Sitting area; TV; Slippers; Ironing facilities; Hairdryer; Wake-up service; Dining area; Dining table; Toilet paper; Single-room AC for guest accommodation; Carbon monoxide detector,Free toiletries; Bathrobe; Safe; Toilet; Fireplace; Bathtub or shower; Towels; Linens; Sitting area; TV; Slippers; Ironing facilities; Hairdryer; Wake-up service; Dining area; Dining table; Toilet paper; Single-room AC for guest accommodation; Carbon monoxide detector,1.003,274.25,1.371,EUR,"€ 1,371 € 1,003 Original price € 1,371 Current price € 1,003 € 274.25 × 5 nights € 1,371.27 Genius Discount - € 199.09 You’re getting a reduced rate because you’re a Genius member. Bonus savings - € 169.23 You’re getting a reduced rate because this property is offering a discount. Total € 1,002.95 Includes taxes and fees 27% off 27% off You’re getting 27% off the original price due to multiple deals and benefits. Genius rewards You're getting a discount with Genius, Booking.com's loyalty program.",,,2025-12-16T13:30:10.447Z
bossche-suites-stationsweg,Bossche Suites Stationsweg,"Stationsweg 2, 5211 TW Den Bosch, Netherlands",Stationsweg 2,5211 TW,Noord-Brabant,Netherlands,9.4,840,51.6901656,5.2978443,https://www.booking.com/hotel/nl/bossche-suites-stationsweg.html,"Featuring free WiFi throughout the property, Bossche Suites Stationsweg offers accommodations in Den Bosch, 1640 feet from the lively Markt and a 3-minute...",King Suite,Max. people: 2,2,,Private suite; 48 m²; Air conditioning; Private bathroom; Soundproof; Coffee machine; Minibar; Free Wifi; Free toiletries; Bathrobe; Safe; Toilet; Fireplace; Bathtub or shower; Towels; Linens; Sitting area; TV; Slippers; Ironing facilities; Hairdryer; Wake-up service; Dining area; Dining table; Toilet paper; Carbon monoxide detector; Single-room AC for guest accommodation,Free toiletries; Bathrobe; Safe; Toilet; Fireplace; Bathtub or shower; Towels; Linens; Sitting area; TV; Slippers; Ironing facilities; Hairdryer; Wake-up service; Dining area; Dining table; Toilet paper; Carbon monoxide detector; Single-room AC for guest accommodation,1.003,274.25,1.371,EUR,"€ 1,371 € 1,003 Original price € 1,371 Current price € 1,003 € 274.25 × 5 nights € 1,371.27 Genius Discount - € 199.09 You’re getting a reduced rate because you’re a Genius member. Bonus savings - € 169.23 You’re getting a reduced rate because this property is offering a discount. Total € 1,002.95 Includes taxes and fees 27% off 27% off You’re getting 27% off the original price due to multiple deals and benefits. Genius rewards You're getting a discount with Genius, Booking.com's loyalty program.",,,2025-12-16T13:30:10.447Z
